id,name,surname,budget,address,city,phone
969,Jeffrey,Warren,208254.09,8839 Heath Hill,San Buenaventura,51-(534)411-7183
970,Donald,Frazier,711433.0,05 Hooker Lane,Naukot,92-(933)275-0800
971,Jerry,Riley,587348.0,43 Jenifer Way,Genève,41-(218)164-9772
972,Joseph,Hughes,745907.87,7 Autumn Leaf Junction,Myhove,380-(507)434-6485
973,David,Diaz,445414.0,019 8th Center,Reutov,7-(602)215-0586
974,Carl,Alexander,465312.2,01 Straubel Avenue,La Gi,84-(605)903-0637
975,Joan,Harvey,550118.28,6 Londonderry Place,Åtvidaberg,46-(647)926-6318
976,Jane,Kelly,178155.47,9 Shelley Parkway,Nianba,86-(563)137-0441
977,Ashley,Stewart,320182.57,23 Dovetail Circle,Karlstad,46-(278)765-9558
978,Rebecca,Smith,984408.36,9 Sycamore Trail,Cambarus,63-(315)363-4451
979,Janice,Freeman,434822.81,83 Holy Cross Drive,Magitang,86-(418)979-8460
980,Sara,Moreno,203122.4,8310 Hooker Hill,Perdões,55-(797)923-4550
981,Aaron,Larson,603088.23,2 Pawling Parkway,Austin,1-(512)836-1370
982,Gerald,King,689023.62,59394 Spohn Junction,Kasempa,260-(653)616-4213
983,Emily,Price,963790.71,12162 Hooker Terrace,Tandayag,63-(907)718-8952
984,Melissa,Sanders,332326.54,93 Artisan Avenue,Pinsk,375-(917)837-1373
985,Judith,Taylor,390031.15,6 Merry Court,Saratak,374-(552)813-3582
986,Jessica,Kelly,620859.27,7457 Vermont Street,Rouen,33-(552)605-2568
987,Karen,Scott,180592.59,0 Straubel Road,Shilovo,7-(611)466-5850
988,Clarence,Ellis,420325.27,359 Mayfield Terrace,Brataj,355-(492)312-9311
989,Martin,Robertson,175418.91,3 Jenna Street,Tsotsin-Yurt,7-(637)382-0113
990,Beverly,Gonzalez,156512.44,38 Mccormick Park,Ḩalḩūl,970-(554)359-1842
991,Debra,Ellis,339265.07,38361 Carpenter Plaza,Kauswagan,63-(917)176-1600
992,Gary,Grant,194808.2,17 Birchwood Center,Guozhuang,86-(648)606-3919
993,Louis,Lee,449054.0,7 Dayton Plaza,Tigaon,63-(432)678-0534
994,Phillip,Fisher,971021.83,977 Clemons Alley,Novopokrovskaya,7-(960)348-1699
995,Peter,Kelley,247468.46,94729 Boyd Pass,La Roche-sur-Yon,33-(162)907-7703
996,Cheryl,Gray,202539.46,173 Granby Terrace,Phra Pradaeng,66-(290)772-7853
997,Matthew,Jordan,996614.64,4965 Oak Valley Way,Qingzhou,86-(202)366-9567
998,Willie,Morrison,393363.16,1 Pleasure Drive,Mölnlycke,46-(741)608-1169
999,Teresa,Mitchell,166852.19,71568 Hoard Pass,Karlstad,46-(596)336-9935
1000,Frank,Day,859217.0,44496 Kenwood Road,Bangolo,225-(777)760-3312
